provincia;poblacion;codigopostal;lat;lon
Albacete;El Bonillo;2613;-2,54023691;38,95012362
Albacete;Carcelén;2153;-1,30876708;39,10231176
Albacete;Casas de Juan Núñez;2151;-1,55799035;39,10160749
Albacete;Casas de Lázaro;2329;-2,23922378;38,7705758
Albacete;Casas de Ves;2212;-1,33454992;39,25946122
Albacete;Casas-Ibáñez;2200;-1,47129143;39,28701686
Albacete;Caudete;2660;-0,9886912;38,70573009
Albacete;Cenizate;2247;-1,66113349;39,30332101
Albacete;Corral-Rubio;2693;-1,4608525;38,83500072
Albacete;Cotillas;2461;-2,50574545;38,43135915
Albacete;Chinchilla de Monte-Aragón;2156;-1,72602643;38,9210968
Albacete;Chinchilla de Monte-Aragón;2510;-1,72602643;38,9210968
Albacete;Chinchilla de Monte-Aragón;2520;-1,72602643;38,9210968
Albacete;Chinchilla de Monte-Aragón;2529;-1,72602643;38,9210968
Albacete;Chinchilla de Monte-Aragón;2692;-1,72602643;38,9210968
Albacete;Chinchilla de Monte-Aragón;2695;-1,72602643;38,9210968
Albacete;Elche de la Sierra;2430;-2,04781376;38,44790893
Albacete;Elche de la Sierra;2439;-2,04781376;38,44790893
Albacete;Elche de la Sierra;2449;-2,04781376;38,44790893
Albacete;Elche de la Sierra;2470;-2,04781376;38,44790893
Albacete;Férez;2436;-2,00953934;38,35567013
Albacete;Fuensanta;2637;-2,06725219;39,24466001
Albacete;Fuente-Álamo;2651;-1,43170411;38,69314229
Albacete;Fuentealbilla;2249;-1,54879364;39,26773579
Albacete;Fuentealbilla;2251;-1,54879364;39,26773579
Albacete;Fuentealbilla;2260;-1,54879364;39,26773579
Albacete;La Gineta;2110;-1,99784496;39,11387916
Albacete;Golosalvo;2253;-1,63626863;39,23996013
Albacete;Hellín;2400;-1,70344921;38,51218953
Albacete;Hellín;2409;-1,70344921;38,51218953
Albacete;Hellín;2420;-1,70344921;38,51218953
Albacete;Hellín;2490;-1,70344921;38,51218953
Albacete;Hellín;2498;-1,70344921;38,51218953
Albacete;Hellín;2499;-1,70344921;38,51218953
Albacete;La Herrera;2162;-2,12637236;38,9621774
Albacete;Higueruela;2690;-1,44535609;38,96455026
Albacete;Higueruela;2694;-1,44535609;38,96455026
Albacete;Hoya-Gonzalo;2696;-1,55687053;38,95787352
Albacete;Jorquera;2248;-1,52061391;39,17457441
Albacete;Jorquera;2249;-1,52061391;39,17457441
Albacete;Letur;2434;-2,10096881;38,36632081
Albacete;Lezuza;2160;-2,35387427;38,94878996
Albacete;Lezuza;2161;-2,35387427;38,94878996
Albacete;Liétor;2124;-1,95479319;38,54083745
Albacete;Liétor;2142;-1,95479319;38,54083745
Albacete;Liétor;2410;-1,95479319;38,54083745
Albacete;Madrigueras;2230;-1,7997012;39,23680339
Albacete;Mahora;2240;-1,72481837;39,21303088
Albacete;Masegoso;2314;-2,31511768;38,71877813
Albacete;Minaya;2620;-2,31961973;39,27118701
Albacete;Molinicos;2440;-2,23898151;38,46778179
Albacete;Molinicos;2448;-2,23898151;38,46778179
Albacete;Molinicos;2449;-2,23898151;38,46778179
Albacete;Montalvos;2638;-2,02769341;39,16721439
Albacete;Montealegre del Castillo;2650;-1,32487672;38,78717469
Albacete;Motilleja;2220;-1,79025762;39,17948885
Albacete;Munera;2612;-2,4830388;39,03954575
Albacete;Navas de Jorquera;2246;-1,7189485;39,28099513
Albacete;Nerpio;2530;-2,30224029;38,14824043
Albacete;Nerpio;2534;-2,30224029;38,14824043
Albacete;Nerpio;2535;-2,30224029;38,14824043
Albacete;Nerpio;2536;-2,30224029;38,14824043
Albacete;Nerpio;2537;-2,30224029;38,14824043
Albacete;Nerpio;2538;-2,30224029;38,14824043
Albacete;Nerpio;2539;-2,30224029;38,14824043
Albacete;Ontur;2652;-1,49888166;38,61472661
Albacete;Ossa de Montiel;2611;-2,74272664;38,96201035
Albacete;Paterna del Madera;2136;-2,34555766;38,59729435
Albacete;Paterna del Madera;2137;-2,34555766;38,59729435
Albacete;Paterna del Madera;2138;-2,34555766;38,59729435
Albacete;Paterna del Madera;2459;-2,34555766;38,59729435
Albacete;Peñascosa;2138;-2,41040499;38,67153536
Albacete;Peñascosa;2313;-2,41040499;38,67153536
Albacete;Peñascosa;2314;-2,41040499;38,67153536
Albacete;Peñas de San Pedro;2120;-2,00212787;38,72688881
Albacete;Peñas de San Pedro;2127;-2,00212787;38,72688881
Albacete;Peñas de San Pedro;2128;-2,00212787;38,72688881
Albacete;Pétrola;2692;-1,55549981;38,82629814
Albacete;Povedilla;2311;-2,60393627;38,70163971
Albacete;Pozohondo;2129;-1,91133356;38,721122
Albacete;Pozohondo;2141;-1,91133356;38,721122
Albacete;Pozohondo;2142;-1,91133356;38,721122
Albacete;Pozo-Lorente;2154;-1,50647855;39,07663024
Albacete;Pozuelo;2327;-2,10117384;38,80969625
Albacete;La Recueja;2249;-1,48988779;39,17688319
Albacete;Riópar;2450;-2,41839311;38,4998099
Albacete;Riópar;2459;-2,41839311;38,4998099
Albacete;Riópar;2462;-2,41839311;38,4998099
Albacete;Robledo;2331;-2,44882682;38,75778452
Albacete;Robledo;2332;-2,44882682;38,75778452
Albacete;Robledo;2340;-2,44882682;38,75778452
Albacete;La Roda;2630;-2,15924796;39,20706504
Albacete;La Roda;2639;-2,15924796;39,20706504
Albacete;Salobre;2316;-2,55057256;38,59195258
Albacete;San Pedro;2326;-2,186211;38,82654004
Albacete;Socovos;2435;-1,98469065;38,33202632
Albacete;Socovos;2437;-1,98469065;38,33202632
Albacete;Tarazona de la Mancha;2100;-1,91280979;39,26539647
Albacete;Tarazona de la Mancha;2110;-1,91280979;39,26539647
Albacete;Tobarra;2500;-1,69282296;38,5922733
Albacete;Tobarra;2513;-1,69282296;38,5922733
Albacete;Tobarra;2514;-1,69282296;38,5922733
Albacete;Valdeganga;2150;-1,67646922;39,13545152
Albacete;Vianos;2315;-2,50149079;38,632307
Albacete;Villa de Ves;2213;-1,25897631;39,22231541
Albacete;Villalgordo del Júcar;2636;-2,06309183;39,29598679
Albacete;Villamalea;2270;-1,59908353;39,36160785
Albacete;Villapalacios;2350;-2,63505947;38,57467359
Albacete;Villarrobledo;2600;-2,60714311;39,26755792
Albacete;Villarrobledo;2612;-2,60714311;39,26755792
Albacete;Villatoya;2215;-1,33858599;39,33385264
Albacete;Villavaliente;2154;-1,45799642;39,12645758
Albacete;Villaverde de Guadalimar;2460;-2,5176095;38,45619162
Albacete;Villaverde de Guadalimar;2462;-2,5176095;38,45619162
Albacete;Viveros;2310;-2,57590915;38,77363475
Albacete;Yeste;2480;-2,31903072;38,36643865
Albacete;Yeste;2482;-2,31903072;38,36643865
Albacete;Yeste;2484;-2,31903072;38,36643865
Albacete;Yeste;2485;-2,31903072;38,36643865
Albacete;Yeste;2486;-2,31903072;38,36643865
Albacete;Yeste;2487;-2,31903072;38,36643865
Albacete;Yeste;2488;-2,31903072;38,36643865
Albacete;Yeste;2489;-2,31903072;38,36643865
Albacete;Pozo Cañada;2099;-1,73622317;38,801361
Albacete;Pozo Cañada;2510;-1,73622317;38,801361
Alicante/Alacant;l'Atzúbia;3786;-0,15173035;38,84743029
Alicante/Alacant;Agost;3698;-0,63891979;38,43949316
Alicante/Alacant;Agres;3837;-0,51595543;38,78000404
Alicante/Alacant;Aigües;3569;-0,36258669;38,49887092
Alicante/Alacant;Albatera;3340;-0,86792141;38,17894636
Alicante/Alacant;Alcalalí;3723;-0,04160798;38,74965349
Alicante/Alacant;Alcalalí;3728;-0,04160798;38,74965349
Alicante/Alacant;Alcocer de Planes;3841;-0,40197036;38,79447224
Alicante/Alacant;Alcoleja;3814;-0,33100925;38,67548564
Alicante/Alacant;Alcoy/Alcoi;3800;-0,47318376;38,69836894
Alicante/Alacant;Alcoy/Alcoi;3801;-0,47318376;38,69836894
Alicante/Alacant;Alcoy/Alcoi;3802;-0,47318376;38,69836894
Alicante/Alacant;Alcoy/Alcoi;3803;-0,47318376;38,69836894
Alicante/Alacant;Alcoy/Alcoi;3804;-0,47318376;38,69836894
Alicante/Alacant;Alcoy/Alcoi;3818;-0,47318376;38,69836894
Alicante/Alacant;Alfafara;3838;-0,55552339;38,77274828
Alicante/Alacant;l'Alfàs del Pi;3580;-0,1026002;38,58009496
Alicante/Alacant;l'Alfàs del Pi;3581;-0,1026002;38,58009496
Alicante/Alacant;Algorfa;3169;-0,79568423;38,08681637
Alicante/Alacant;Algueña;3668;-1,00303745;38,33800138
Alicante/Alacant;Alicante/Alacant;3001;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3002;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3003;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3004;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3005;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3006;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3007;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3008;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3009;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3010;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3011;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3012;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3013;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3014;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3015;-0,4831832;38,34548705
Alicante/Alacant;Alicante/Alacant;3016;-0,4831832;38,34548705
